Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
0,1,1,1,99077.7982669884,0.001283333333,
1,2,1,1,274129.2633496,0.00335,
2,2,2,2,29776.5378017008,0.020716666667,285.289676135666
3,2,3,2,42398.561839869,0.03775,467.29972201164
4,3,1,1,262797.4834405,0.039783333333,
5,3,2,2,27448.2593244847,0.05715,124.08639233026
6,3,3,2,35758.6644512262,0.074183333333,489.312873317747
7,4,1,1,284705.1952798,0.076216666667,
8,4,2,2,16690.4143494231,0.0936,295.186874590549
9,4,3,2,26856.5292268436,0.110633333333,445.285522986541
10,5,1,1,265162.9784292,0.112666666667,
11,5,2,2,27250.4946717356,0.13,285.289134606182
12,5,3,2,40952.8346684005,0.14705,467.300755239472
13,6,1,1,258345.7843758,0.149083333333,
14,6,2,2,26192.7780983726,0.166433333333,124.086451097191
15,6,3,2,35717.758959364,0.183483333333,489.312067871737
16,7,1,1,265419.9040797,0.185516666667,
17,7,2,2,6516.01006931953,0.202883333333,59.059761773876
18,7,3,2,16638.3971415914,0.219916666667,295.188112095324
19,8,1,1,270715.4779273,0.22195,
20,8,2,2,26886.2640150807,0.2393,285.289757290449
21,8,3,2,40350.4282592419,0.256333333333,467.300546660504
22,9,1,1,252749.2953699,0.258366666667,
23,9,2,2,27297.068342551,0.275733333333,124.08650258097
24,9,3,2,34080.6739731611,0.292766666667,489.313195436263
25,10,1,1,257042.8185484,0.2948,
26,10,2,2,16817.1514000794,0.31215,295.188028520949
27,10,3,2,25802.6536956946,0.329183333333,445.286669311181
28,11,1,1,253218.8846407,0.331216666667,
29,11,2,2,27745.7294026756,0.348566666667,285.288961160542
30,11,3,2,39764.4980752412,0.3656,467.300127248943
31,12,1,1,258266.231035,0.36765,
32,12,2,2,26648.4300983131,0.384983333333,124.086163179254
33,12,3,2,37094.6139300379,0.402033333333,489.312517821482
34,13,1,1,334541.9434221,0.404066666667,
35,13,2,2,27072.6216934737,0.421566666667,162.112173989301
36,13,3,2,17756.1865525896,0.438616666667,464.283636016075
37,14,1,1,296284.5249925,0.44065,
38,14,2,2,45756.5059731846,0.458066666667,217.107441236885
39,14,3,2,83196.0815046867,0.475116666667,239.089140851419
40,15,1,1,540223.4382805,0.47715,
41,15,2,2,23446.0540706447,0.494616666667,173.080818810946
42,15,3,2,37349.7262721755,0.511666666667,455.188329533074
43,16,1,1,446065.2157058,0.513683333333,
44,16,2,2,50340.289759861,0.531133333333,470.202193288242
45,16,3,2,42533.2841012669,0.548183333333,475.157761280182
46,17,1,1,2082969.627417,0.5502,
47,17,2,2,397242.8811082,0.56765,387.180513760847
48,17,3,2,405802.658883,0.584683333333,432.237864151427
49,18,1,1,3028895.105593,0.58675,
50,18,2,2,148276.2205287,0.604133333333,409.161917370123
51,18,3,2,169731.7337389,0.621166666667,445.232919606645
52,19,1,1,828952.7238035,0.623216666667,
53,19,2,2,73759.5624548812,0.64055,225.195374053242
54,19,3,2,48518.0104197698,0.6576,425.136772788873
55,20,1,1,437550.582279,0.659633333333,
56,20,2,2,32327.8231654647,0.67705,387.179616130346
57,20,3,2,32924.565622863,0.6941,432.238108949949
58,21,1,1,390119.7501778,0.696133333333,
59,21,2,2,65000.8998813391,0.713566666667,409.162194932268
60,21,3,2,40181.9967542056,0.7306,467.299528023304
61,22,1,1,364033.3449291,0.732633333333,
62,22,2,2,28783.6132927217,0.750066666667,379.151973393616
63,22,3,2,16600.8957215903,0.7671,425.136637264606
64,23,1,1,297746.4659718,0.769133333333,
65,23,2,2,25761.8243511735,0.78655,124.086560206209
66,23,3,2,27774.1201230383,0.8036,285.28892317864
67,24,1,1,285484.3591037,0.805633333333,
68,24,2,2,41425.5083510918,0.823066666667,467.300848813178
69,24,3,2,33648.5611425801,0.8401,489.313417670585
70,25,1,1,281125.6534606,0.84215,
71,25,2,2,6764.93112993468,0.859583333333,59.059822143248
72,25,3,2,20417.3987834973,0.876616666667,511.325413905167
73,26,1,1,284890.5967652,0.87865,
74,26,2,2,25700.7345446956,0.896066666667,124.086627217406
75,26,3,2,27160.7960838551,0.913116666667,285.289263312823
76,27,1,1,195796.6098756,0.91515,
77,27,2,2,14411.4396007638,0.932516666667,467.300855322189
78,27,3,2,34759.6833463274,0.949566666667,489.312738340354
79,28,1,1,295596.0981522,0.9516,
80,28,2,2,15660.2450626021,0.969,295.186970746615
81,28,3,2,26855.3818720277,0.98605,445.286471066516
82,29,1,1,281804.9234726,0.988083333333,
83,29,2,2,25213.7845187832,1.005483333333,124.086674420669
84,29,3,2,27515.5364149459,1.022533333333,285.289452448197
85,30,1,1,281320.0447185,1.02455,
86,30,2,2,40022.819637677,1.042016666667,467.300174026025
87,30,3,2,34610.6728648058,1.059066666667,489.312992812805
88,31,1,1,352950.3203042,1.0611,
89,31,2,2,29513.2097954514,1.078533333333,550.279982706521
90,31,3,2,33926.0854644271,1.095583333333,563.27468727798
91,32,1,1,341212.156856,1.097616666667,
92,32,2,2,26410.2465186065,1.115016666667,124.087195679145
93,32,3,2,9739.84917235366,1.132066666667,505.221910731123
94,33,1,1,285648.6741013,1.1341,
95,33,2,2,27786.5265786189,1.151516666667,285.289130468241
96,33,3,2,39691.807055271,1.16855,467.300772996481
97,34,1,1,292845.655225,1.170583333333,
98,34,2,2,35390.8209287688,1.188,489.313693510195
99,34,3,2,20832.672248988,1.20505,511.32614544326
100,35,1,1,295241.365531,1.207083333333,
101,35,2,2,26387.8758084034,1.224533333333,124.086130174213
102,35,3,2,27799.5306295607,1.241583333333,445.286139925586
103,36,1,1,328501.1428823,1.243616666667,
104,36,2,2,32020.8528953569,1.26105,424.34155457552
105,36,3,2,40107.8313614744,1.278083333333,467.300006287781
106,37,1,1,290910.0743257,1.280133333333,
107,37,2,2,27924.4709542394,1.297533333333,285.289962808197
108,37,3,2,34249.4077332677,1.314583333333,489.313235369946
109,38,1,1,205194.2996546,1.316616666667,
110,38,2,2,3975.95058973506,1.334,124.086706035127
111,38,3,2,26088.40379038,1.35105,224.126869109393
112,39,1,1,288653.5470434,1.353083333333,
113,39,2,2,6648.96630074533,1.3705,59.059739998749
114,39,3,2,40042.6673068244,1.387533333333,467.300152207719
115,40,1,1,284429.564228,1.389583333333,
116,40,2,2,27997.975286607,1.407,285.28916503421
117,40,3,2,34275.4328293581,1.42405,489.31261725046
118,41,1,1,292116.0197227,1.426083333333,
119,41,2,2,26988.0292910802,1.443516666667,124.086285530446
